Date,Open,High,Low,Close,Adjusted_close,Volume
2024-12-18,3.1170,3.1280,3.1120,3.1275,3.1275,0
2024-12-19,3.1220,3.1330,3.1220,3.1250,3.1250,0
2024-12-20,3.1535,3.1535,3.1240,3.1240,3.1240,0
2024-12-23,3.1555,3.1710,3.1330,3.1330,3.1330,0
2024-12-30,3.1830,3.1830,3.1570,3.1655,3.1655,0
2025-01-02,3.2050,3.2200,3.2000,3.2125,3.2125,0
2025-01-03,3.1710,3.1710,3.1375,3.1375,3.1375,0
2025-01-06,3.1140,3.1190,3.1060,3.1110,3.1110,0
2025-01-07,3.1165,3.1500,3.1165,3.1500,3.1500,0
2025-01-08,3.1690,3.1690,3.1380,3.1380,3.1380,0
2025-01-09,3.1775,3.1950,3.1745,3.1840,3.1840,0
2025-01-10,3.2470,3.2840,3.2470,3.2770,3.2770,0
2025-01-13,3.2900,3.3025,3.2820,3.2930,3.2930,0
2025-01-14,3.2740,3.2745,3.2300,3.2300,3.2300,0
2025-01-15,3.2400,3.2800,3.2385,3.2800,3.2800,0
2025-01-16,3.3145,3.3445,3.3145,3.3275,3.3275,0
2025-01-17,3.3530,3.4065,3.3530,3.4065,3.4065,0
2025-01-20,3.3870,3.3970,3.3665,3.3680,3.3680,0
2025-01-21,3.3515,3.3515,3.2950,3.2990,3.2990,0
2025-01-22,3.2675,3.2895,3.2630,3.2890,3.2890,0
2025-01-23,3.2635,3.2800,3.2635,3.2800,3.2800,0
2025-01-24,3.2995,3.2995,3.2595,3.2595,3.2595,0
2025-01-27,3.2535,3.2535,3.2180,3.2225,3.2225,0
2025-01-28,3.2265,3.2300,3.2170,3.2170,3.2170,0
2025-01-29,3.2470,3.2830,3.2470,3.2830,3.2830,0
2025-01-30,3.2840,3.2955,3.2695,3.2695,3.2695,0
2025-01-31,3.2700,3.2770,3.2575,3.2575,3.2575,0
2025-02-03,3.2810,3.3310,3.2770,3.3145,3.3145,0
2025-02-04,3.3170,3.3170,3.3110,3.3110,3.3110,0
2025-02-05,3.2970,3.2970,3.2590,3.2590,3.2590,0
2025-02-06,3.3105,3.3105,3.3105,3.3105,3.3105,0
2025-02-07,3.3070,3.3205,3.3055,3.3205,3.3205,0
