Date,Open,High,Low,Close,Adjusted_close,Volume
2020-02-17,7.1280,7.1510,7.1150,7.1360,7.1360,0
2020-02-18,7.0470,7.1080,6.9910,7.0590,7.0590,0
2020-02-19,7.2090,7.3230,7.1900,7.3200,7.3200,0
2020-02-20,7.3460,7.4500,7.3020,7.4170,7.4170,0
2020-02-21,7.2890,7.2890,7.1500,7.2100,7.2100,0
2020-02-24,7.0620,7.0620,6.8930,6.8930,6.8930,0
2020-02-25,7.0380,7.0380,6.8400,6.8650,6.8650,0
2020-02-26,6.7460,6.8300,6.6350,6.7630,6.7630,0
2020-02-27,6.4820,6.5110,6.0960,6.2840,6.2840,0
2020-02-28,6.1390,6.1900,5.8970,5.9800,5.9800,0
2020-03-02,6.1760,6.2180,5.9540,6.1750,6.1750,0
2020-03-03,6.2940,6.4510,6.1900,6.2180,6.2180,0
2020-03-04,6.2390,6.4230,6.2240,6.2540,6.2540,0
2020-03-05,6.2300,6.2600,6.1150,6.1560,6.1560,0
2020-03-06,5.9360,5.9520,5.4320,5.4810,5.4810,0
2020-03-09,5.0000,5.0000,4.0850,4.3420,4.3420,0
2020-03-10,4.2745,4.5265,4.1695,4.3920,4.3920,0
2020-03-11,4.4850,4.5010,4.3210,4.4005,4.4005,0
2020-03-12,4.2900,4.3500,3.9900,4.1385,4.1385,0
2020-03-13,4.4010,4.5145,4.1845,4.2515,4.2515,0
2020-03-16,4.0830,4.0915,3.7700,3.9330,3.9330,0
2020-03-17,4.0275,4.0305,3.8400,3.8760,3.8760,0
2020-03-18,3.5735,3.5860,3.0655,3.1210,3.1210,0
2020-03-19,3.1675,3.4940,3.0155,3.3600,3.3600,0
2020-03-20,3.8085,3.9045,3.2000,3.4920,3.4920,0
2020-03-23,3.1315,3.2305,2.9725,3.0200,3.0200,0
2020-03-24,3.3370,3.4000,3.1600,3.2195,3.2195,0
2020-03-25,3.3325,3.3655,3.1200,3.2765,3.2765,0
2020-03-26,3.1915,3.2345,3.0755,3.1145,3.1145,0
2020-03-27,3.0300,3.0610,2.8110,2.8430,2.8430,0
2020-03-30,2.7155,2.7640,2.6400,2.7315,2.7315,0
2020-03-31,2.8700,2.9205,2.7285,2.7625,2.7625,0
2020-04-01,2.7485,2.7965,2.6800,2.7560,2.7560,0
2020-04-02,2.9965,3.4900,2.9185,3.3040,3.3040,0
2020-04-03,3.3700,3.8865,3.3510,3.6360,3.6360,0
2020-04-06,3.7665,3.8190,3.5600,3.5995,3.5995,0
2020-04-07,3.6565,3.6755,3.5200,3.5360,3.5360,0
2020-04-08,3.3115,3.3780,3.2150,3.2780,3.2780,0
2020-04-09,3.5000,3.7135,3.3035,3.3935,3.3935,0
2020-04-14,3.2800,3.3000,3.0600,3.0800,3.0800,0
2020-04-15,3.0140,3.0250,2.8740,2.8945,2.8945,0
2020-04-16,2.9270,2.9820,2.8200,2.8210,2.8210,0
2020-04-17,2.8935,2.9705,2.8265,2.8530,2.8530,0
2020-04-20,2.7350,2.7530,2.5880,2.6755,2.6755,0
2020-04-21,2.5340,2.5380,1.9100,2.1725,2.1725,0
2020-04-22,1.8978,2.2000,1.7974,2.0530,2.0530,0
2020-04-23,2.1100,2.2595,2.0860,2.2200,2.2200,0
2020-04-24,2.1500,2.2195,2.0420,2.1000,2.1000,0
2020-04-27,1.8800,1.8968,1.7300,1.7340,1.7340,0
2020-04-28,1.7286,1.8940,1.6728,1.7552,1.7552,0
2020-04-29,1.7904,1.9644,1.7548,1.9000,1.9000,0
2020-04-30,1.9744,2.0845,1.9688,2.0530,2.0530,0
2020-05-04,2.0650,2.1890,2.0090,2.1190,2.1190,0
2020-05-05,2.3700,2.5085,2.3215,2.4915,2.4915,0
2020-05-06,2.5300,2.6500,2.3880,2.3880,2.3880,0
2020-05-07,2.4305,2.6900,2.4235,2.6280,2.6280,0
2020-05-08,2.4960,2.5155,2.3935,2.4580,2.4580,0
2020-05-11,2.4865,2.5570,2.4335,2.4555,2.4555,0
2020-05-12,2.4540,2.5100,2.4350,2.4445,2.4445,0
2020-05-13,2.4590,2.5115,2.4060,2.4400,2.4400,0
2020-05-14,2.4555,2.5150,2.4290,2.4915,2.4915,0
2020-05-15,2.6185,2.6425,2.5585,2.6290,2.6290,0
2020-05-18,2.7925,2.9440,2.7755,2.9150,2.9150,0
2020-05-19,2.8585,2.8890,2.8000,2.8305,2.8305,0
2020-05-20,2.8570,2.9685,2.8210,2.9200,2.9200,0
2020-05-21,2.9940,3.0400,2.9535,2.9740,2.9740,0
2020-05-22,2.8565,2.9435,2.8050,2.9200,2.9200,0
2020-05-25,2.9800,3.0000,2.9605,2.9995,2.9995,0
2020-05-26,3.0365,3.0565,2.9635,2.9700,2.9700,0
2020-05-27,2.9765,3.0160,2.8510,2.8925,2.8925,0
2020-05-28,2.8195,2.8960,2.7920,2.8735,2.8735,0
2020-05-29,2.8815,2.9200,2.8200,2.9050,2.9050,0
2020-06-01,3.0545,3.0700,2.9750,3.0055,3.0055,0
2020-06-02,3.0845,3.1330,3.0425,3.1120,3.1120,0
2020-06-03,3.2150,3.2195,3.0825,3.1470,3.1470,0
2020-06-05,3.1630,3.3470,3.1625,3.3170,3.3170,0
2020-06-08,3.3675,3.3840,3.2170,3.2405,3.2405,0
2020-06-09,3.2595,3.2695,3.1465,3.2030,3.2030,0
2020-06-10,3.2170,3.2535,3.1675,3.2415,3.2415,0
2020-06-11,3.1960,3.2265,3.0400,3.0600,3.0600,0
2020-06-12,2.9635,3.1230,2.9505,3.0795,3.0795,0
2020-06-15,2.9565,3.0750,2.9465,3.0745,3.0745,0
2020-06-16,3.1250,3.3105,3.1045,3.1800,3.1800,0
2020-06-17,3.1950,3.2795,3.1800,3.2200,3.2200,0
2020-06-18,3.2030,3.2800,3.1905,3.2800,3.2800,0
2020-06-19,3.3330,3.4125,3.3305,3.3890,3.3890,0
2020-06-22,3.3655,3.3885,3.3235,3.3810,3.3810,0
2020-06-23,3.3980,3.4800,3.3900,3.4435,3.4435,0
2020-06-24,3.3685,3.3900,3.1980,3.2100,3.2100,0
2020-06-25,3.1760,3.2640,3.1325,3.2170,3.2170,0
2020-06-26,3.2855,3.3140,3.1950,3.2120,3.2120,0
2020-06-29,3.1955,3.2940,3.1680,3.2745,3.2745,0
2020-06-30,3.3195,3.3345,3.2740,3.3180,3.3180,0
2020-07-01,3.3485,3.4090,3.2820,3.3560,3.3560,0
2020-07-02,3.3575,3.4000,3.3340,3.3705,3.3705,0
2020-07-03,3.3810,3.3915,3.3500,3.3800,3.3800,0
2020-07-06,3.4060,3.4345,3.3500,3.4200,3.4200,0
2020-07-07,3.3550,3.4165,3.3480,3.3975,3.3975,0
2020-07-08,3.3855,3.4100,3.3620,3.3890,3.3890,0
2020-07-09,3.3990,3.4160,3.2930,3.3265,3.3265,0
2020-07-10,3.2700,3.3700,3.2350,3.3600,3.3600,0
2020-07-13,3.3685,3.3850,3.3195,3.3790,3.3790,0
2020-07-14,3.3000,3.3670,3.2620,3.3670,3.3670,0
2020-07-15,3.3690,3.3950,3.3245,3.3765,3.3765,0
2020-07-16,3.3805,3.4050,3.3655,3.3945,3.3945,0
2020-07-17,3.3775,3.3830,3.3100,3.3450,3.3450,0
2020-07-20,3.3170,3.3520,3.2980,3.3505,3.3505,0
2020-07-21,3.3835,3.4935,3.3780,3.4600,3.4600,0
2020-07-22,3.4065,3.4230,3.3450,3.3620,3.3620,0
2020-07-23,3.4230,3.4405,3.3770,3.3945,3.3945,0
2020-07-24,3.3130,3.3800,3.3030,3.3030,3.3030,0
2020-07-27,3.3100,3.3425,3.2450,3.2505,3.2505,0
2020-07-28,3.3410,3.3490,3.2850,3.3000,3.3000,0
2020-07-29,3.2985,3.3320,3.2940,3.3165,3.3165,0
2020-07-30,3.2800,3.2860,3.1000,3.2000,3.2000,0
2020-07-31,3.1785,3.2305,3.1625,3.1825,3.1825,0
2020-08-03,3.1825,3.3000,3.1665,3.2920,3.2920,0
2020-08-04,3.2710,3.3200,3.2175,3.3200,3.3200,0
2020-08-05,3.3200,3.4300,3.3070,3.4100,3.4100,0
2020-08-06,3.3455,3.3800,3.3060,3.3400,3.3400,0
2020-08-07,3.3245,3.3520,3.2930,3.3000,3.3000,0
2020-08-10,3.3280,3.3720,3.3260,3.3530,3.3530,0
2020-08-11,3.3705,3.4115,3.3670,3.3670,3.3670,0
2020-08-12,3.3730,3.3975,3.3545,3.3795,3.3795,0
2020-08-13,3.3785,3.3980,3.3545,3.3740,3.3740,0
2020-08-14,3.3645,3.3690,3.3305,3.3470,3.3470,0
2020-08-17,3.3615,3.3800,3.3260,3.3740,3.3740,0
2020-08-18,3.3695,3.3960,3.3260,3.3660,3.3660,0
2020-08-19,3.3520,3.3760,3.3345,3.3725,3.3725,0
2020-08-20,3.3670,3.3760,3.2945,3.3565,3.3565,0
2020-08-21,3.3625,3.3700,3.2995,3.2995,3.2995,0
2020-08-24,3.3600,3.3820,3.3430,3.3820,3.3820,0
2020-08-25,3.3750,3.4375,3.3575,3.4100,3.4100,0
2020-08-26,3.4200,3.4530,3.4080,3.4300,3.4300,0
2020-08-27,3.4235,3.4265,3.3580,3.3910,3.3910,0
2020-08-28,3.3755,3.4050,3.3535,3.3775,3.3775,0
2020-08-31,3.3990,3.4150,3.3510,3.3700,3.3700,0
2020-09-01,3.3580,3.3900,3.3360,3.3635,3.3635,0
2020-09-02,3.3875,3.4000,3.2950,3.3150,3.3150,0
2020-09-03,3.2810,3.2900,3.2010,3.2070,3.2070,0
2020-09-04,3.2375,3.3030,3.1690,3.1915,3.1915,0
2020-09-07,3.1070,3.1335,3.0920,3.1020,3.1020,0
2020-09-08,3.1010,3.1060,2.8970,2.9180,2.9180,0
2020-09-09,2.9320,3.0250,2.9235,3.0170,3.0170,0
2020-09-10,3.0105,3.0135,2.9450,2.9805,2.9805,0
2020-09-11,2.9515,2.9880,2.9145,2.9745,2.9745,0
2020-09-14,2.9670,2.9745,2.9100,2.9265,2.9265,0
2020-09-15,2.9415,3.0120,2.9295,3.0120,3.0120,0
2020-09-16,3.0785,3.1400,3.0675,3.1260,3.1260,0
2020-09-17,3.1260,3.2380,3.1220,3.2265,3.2265,0
2020-09-18,3.2380,3.2490,3.1700,3.2235,3.2235,0
2020-09-21,3.1745,3.1915,3.0700,3.0700,3.0700,0
2020-09-22,3.1225,3.1620,3.1090,3.1405,3.1405,0
2020-09-23,3.1205,3.2005,3.1145,3.1600,3.1600,0
2020-09-24,3.1400,3.1785,3.1210,3.1530,3.1530,0
2020-09-25,3.1840,3.2100,3.1550,3.1860,3.1860,0
2020-09-28,3.1645,3.2200,3.1560,3.1940,3.1940,0
2020-09-29,3.1825,3.1920,3.0585,3.0650,3.0650,0
2020-09-30,3.0680,3.1285,3.0550,3.1135,3.1135,0
2020-10-01,3.1535,3.1600,2.9625,2.9750,2.9750,0
2020-10-02,2.9600,2.9830,2.8965,2.9760,2.9760,0
2020-10-06,3.0925,3.1920,3.0720,3.1760,3.1760,0
2020-10-07,3.1595,3.1640,3.0880,3.1075,3.1075,0
2020-10-08,3.1535,3.2300,3.1500,3.1935,3.1935,0
2020-10-09,3.2215,3.2360,3.1820,3.2005,3.2005,0
2020-10-12,3.1390,3.1480,3.0565,3.0825,3.0825,0
2020-10-13,3.1035,3.1680,3.0900,3.1680,3.1680,0
2020-10-14,3.1440,3.2200,3.1350,3.2100,3.2100,0
2020-10-15,3.2035,3.2065,3.0965,3.1655,3.1655,0
2020-10-16,3.1855,3.2100,3.1485,3.2015,3.2015,0
2020-10-19,3.2125,3.2300,3.1720,3.1960,3.1960,0
2020-10-20,3.1755,3.1900,3.1340,3.1520,3.1520,0
2020-10-22,3.0890,3.1670,3.0840,3.1610,3.1610,0
2020-10-23,3.1300,3.1515,3.1155,3.1215,3.1215,0
2020-10-26,2.9790,3.0340,2.9710,2.9875,2.9875,0
2020-10-27,3.0000,3.0625,2.9850,3.0575,3.0575,0
2020-10-28,2.9900,2.9915,2.8905,2.9250,2.9250,0
2020-10-29,2.9195,2.9200,2.7460,2.8280,2.8280,0
2020-10-30,2.8265,2.8715,2.7775,2.8025,2.8025,0
