Date,Open,High,Low,Close,Adjusted_close,Volume
2020-02-14,7.3500,7.3500,7.0610,7.1900,7.1900,0
2020-02-17,7.1760,7.2650,7.0140,7.1040,7.1040,0
2020-02-18,7.1750,7.3070,7.1460,7.2600,7.2600,0
2020-02-19,7.2600,7.4500,7.2600,7.4500,7.4500,0
2020-02-20,7.3130,7.4510,7.3090,7.3830,7.3830,0
2020-02-21,7.3730,7.4200,7.3300,7.3480,7.3480,0
2020-02-24,7.3350,7.3400,7.1910,7.2220,7.2220,0
2020-02-25,7.2800,7.2800,7.1950,7.2210,7.2210,0
2020-02-26,7.1040,7.1040,7.0010,7.0500,7.0500,0
2020-02-27,7.0000,7.0000,6.7560,6.8500,6.8500,0
2020-02-28,6.7600,6.7700,6.6700,6.6870,6.6870,0
2020-03-02,6.7250,6.8920,6.5750,6.6500,6.6500,0
2020-03-03,6.6500,6.6500,6.4720,6.5870,6.5870,0
2020-03-04,6.5600,6.5610,6.4760,6.4760,6.4760,0
2020-03-05,6.4570,6.4570,6.3500,6.3960,6.3960,0
2020-03-06,6.2960,6.3180,6.0800,6.0870,6.0870,0
2020-03-09,6.0450,6.2150,5.6260,5.8200,5.8200,0
2020-03-10,5.9000,5.9000,5.7820,5.7820,5.7820,0
2020-03-11,5.9000,5.9000,5.8700,5.8700,5.8700,0
2020-03-12,5.7710,5.7710,5.5720,5.5720,5.5720,0
2020-03-13,5.6500,5.7000,5.5350,5.6310,5.6310,0
2020-03-16,5.5900,5.5900,5.2300,5.3090,5.3090,0
2020-03-17,5.2950,5.3760,5.2210,5.2210,5.2210,0
2020-03-18,5.2500,5.2500,5.1990,5.2500,5.2500,0
2020-03-19,5.2650,5.2750,5.2000,5.2570,5.2570,0
2020-03-20,5.3000,5.5270,5.3000,5.3600,5.3600,0
2020-03-23,5.4000,5.4800,5.3680,5.4330,5.4330,0
2020-03-24,5.5300,5.6710,5.5000,5.5700,5.5700,0
2020-03-25,5.6590,5.7460,5.5500,5.5900,5.5900,0
