Date,Open,High,Low,Close,Adjusted_close,Volume
2024-12-18,81.7500,81.9300,81.0000,81.0000,81.0000,0
2024-12-19,81.7600,82.0900,81.4000,81.4000,81.4000,0
2024-12-20,81.5000,82.3700,81.5000,82.1700,82.1700,0
2024-12-23,82.3400,83.2800,82.3400,82.9200,82.9200,0
2024-12-30,81.8200,81.8200,79.7500,80.0100,80.0100,0
2025-01-02,80.8200,82.6000,80.5200,82.6000,82.6000,0
2025-01-03,82.7500,84.1600,82.7500,83.8700,83.8700,0
2025-01-06,83.0300,84.0400,82.7200,82.7200,82.7200,0
2025-01-07,83.2100,84.7000,83.1200,84.7000,84.7000,0
2025-01-08,84.4500,85.5000,84.2400,85.1300,85.1300,0
2025-01-09,84.6700,85.4400,84.5400,85.2600,85.2600,0
2025-01-10,85.3900,86.7200,85.3000,85.7000,85.7000,0
2025-01-13,86.4200,86.8600,85.8700,85.8800,85.8800,0
2025-01-14,85.7500,85.8800,84.0000,84.0000,84.0000,0
2025-01-15,83.4400,84.0000,82.9100,83.5500,83.5500,0
2025-01-16,84.0600,84.5000,83.7800,84.0500,84.0500,0
2025-01-17,83.3900,84.4300,83.3900,84.4000,84.4000,0
2025-01-20,83.4500,83.7600,82.9800,83.3300,83.3300,0
