Date,Open,High,Low,Close,Adjusted_close,Volume
2024-12-18,52.9100,53.9900,52.8100,53.6200,53.6200,0
2024-12-19,54.1900,55.8300,52.5800,53.0500,53.0500,0
2024-12-20,53.1600,53.8200,52.2500,53.1300,53.1300,0
2024-12-23,53.2700,53.8000,52.3300,53.3500,53.3500,0
2024-12-30,52.6600,52.9200,51.6100,52.1300,52.1300,0
2025-01-02,51.8500,54.3200,51.8500,54.3200,54.3200,0
2025-01-03,54.0700,54.1600,52.6600,53.3900,53.3900,0
2025-01-06,52.6700,53.8800,52.2700,53.0500,53.0500,0
2025-01-07,52.3100,52.8500,52.0000,52.5600,52.5600,0
2025-01-08,52.5900,53.4500,52.5900,52.6700,52.6700,0
2025-01-09,53.1900,53.1900,52.4000,52.4200,52.4200,0
2025-01-10,52.4700,53.9600,52.2600,53.7500,53.7500,0
2025-01-13,53.9300,55.6500,53.7900,54.4400,54.4400,0
2025-01-14,54.2100,54.2600,53.5600,53.5600,53.5600,0
2025-01-15,53.4800,54.4500,53.0500,54.3300,54.3300,0
2025-01-16,54.9100,54.9100,53.9300,54.2600,54.2600,0
2025-01-17,54.1900,54.9700,53.9700,54.1900,54.1900,0
2025-01-20,54.1900,54.6800,53.5300,53.5300,53.5300,0
2025-01-21,53.7500,55.1600,53.7500,54.1700,54.1700,0
2025-01-22,54.6100,55.4400,53.5000,55.2400,55.2400,0
2025-01-23,55.9400,57.0900,55.4600,56.3900,56.3900,0
2025-01-24,56.4400,56.6000,55.5700,56.6000,56.6000,0
